RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
6271,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3069,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4976,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4720,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4992,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4519,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4723,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4298,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3146,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2845,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3422,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
7924,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3950,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3367,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3218,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2296,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
