RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
5540,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
3131,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2822,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1400,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1279,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
6561,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2866,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
5208,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2536,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2587,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
16755,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
14178,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
10055,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
9562,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
29403,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2439,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
