RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
5149,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3875,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3506,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4917,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2574,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
6847,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2764,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4298,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
8850,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4854,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2961,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2631,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3529,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2655,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3925,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2303,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2813,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2458,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2892,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2282,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2581,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2106,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3078,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3378,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3286,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2696,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2539,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4749,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2002,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2854,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4562,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3797,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3008,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2591,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
