RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
9125,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
76055,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2979,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3046,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2543,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2869,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
7822,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3955,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3083,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2307,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3717,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2395,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2424,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2435,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
4644,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
23530,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3255,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2187,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1943,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3118,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3028,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2655,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3193,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1866,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1801,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
5519,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3646,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2317,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2969,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2358,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2354,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3057,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
7708,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2767,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2185,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3713,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2854,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2028,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2076,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1446,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1426,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2915,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2665,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1796,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2322,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1740,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1724,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2754,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
