RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
4747,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
3257,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2239,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2414,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2116,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2382,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1774,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2487,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1616,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2283,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
