RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
7506,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
8593,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4410,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4938,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3248,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5329,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4179,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
35411,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
17700,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
6509,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
13811,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
10773,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4481,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
31638,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
16313,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
59597,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3548,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
9378,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
19707,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3520,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
11124,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3650,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3261,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
6563,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2889,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3800,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
51982,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
16287,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
25310,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2745,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
1796,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
49444,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5083,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2466,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4076,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5534,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3187,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2928,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5286,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2659,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
36407,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3018,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4497,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
14475,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3983,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
2181,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
6242,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
92219,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
53652,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
