"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
32077,"E_M_nicolas_cage.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","4","1","12345","E_M_nicolas_cage.jpg E_M_tom_hankes.jpg",-1.78622559405316,"33","Female","right",1,1,TRUE
3417,"P_F_hillary_clinton.jpg","P_F_tehresy_may.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","3","1","12345","P_F_hillary_clinton.jpg P_F_tehresy_may.jpg",-2.92892883604003,"33","Female","right",1,1,FALSE
6223,"P_F_nicola_sturgeon.jpg","P_M_boris_johnson.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","1","12345","P_F_nicola_sturgeon.jpg P_M_boris_johnson.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3462,"E_M_michael_caine.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","5","1","12345","E_M_michael_caine.jpg P_F_hillary_clinton.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
4079,"P_F_tehresy_may.jpg","P_M_bill_clinton.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","3","1","12345","P_F_tehresy_may.jpg P_M_bill_clinton.jpg",-2.92892883604003,"33","Female","right",1,1,FALSE
2606,"E_F_Judi_Dench.jpg","E_F_sandra_bullock.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","1","12345","E_F_Judi_Dench.jpg E_F_sandra_bullock.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
18791,"E_F_keira_knightley.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_keira_knightley.jpg E_M_tom_hankes.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3119,"P_F_tehresy_may.jpg","P_M_george_Wbush.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","3","1","12345","P_F_tehresy_may.jpg P_M_george_Wbush.jpg",-2.92892883604003,"33","Female","right",1,1,FALSE
5242,"E_M_michael_caine.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5","1","12345","E_M_michael_caine.jpg P_M_boris_johnson.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
1762,"E_F_keira_knightley.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","1","12345","E_F_keira_knightley.jpg P_F_tehresy_may.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2305,"E_F_jennifer_aniston.jpg","P_M_Tony_Blair.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_jennifer_aniston.jpg P_M_Tony_Blair.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
6137,"E_M_michael_caine.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","1","12345","E_M_michael_caine.jpg P_M_george_Wbush.jpg",-1.78622559405316,"33","Female","right",1,1,FALSE
2368,"E_F_angelina_jolie.jpg","E_F_Judi_Dench.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","1","12345","E_F_angelina_jolie.jpg E_F_Judi_Dench.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2991,"E_M_tom_hankes.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","1","12345","E_M_tom_hankes.jpg P_M_george_Wbush.jpg",-2.92892883604003,"33","Female","right",1,1,FALSE
2031,"P_F_tehresy_may.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","5","1","12345","P_F_tehresy_may.jpg P_M_david_cameron.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
4159,"E_F_angelina_jolie.jpg","E_M_nicolas_cage.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_angelina_jolie.jpg E_M_nicolas_cage.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3111,"E_M_Hugh_Grant.jpg","E_M_nicolas_cage.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","5","1","12345","E_M_Hugh_Grant.jpg E_M_nicolas_cage.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
8247,"E_F_sandra_bullock.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","1","12345","E_F_sandra_bullock.jpg P_F_tehresy_may.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
5126,"P_F_hillary_clinton.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","1","12345","P_F_hillary_clinton.jpg P_M_donald_trump.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1649,"E_F_keira_knightley.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_keira_knightley.jpg E_M_michael_caine.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2431,"E_F_keira_knightley.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","3","1","12345","E_F_keira_knightley.jpg P_F_nicola_sturgeon.jpg",-2.92892883604003,"33","Female","right",1,1,FALSE
2247,"E_F_sandra_bullock.jpg","E_M_Hugh_Grant.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_sandra_bullock.jpg E_M_Hugh_Grant.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2903,"E_F_keira_knightley.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_keira_knightley.jpg P_M_david_cameron.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1652,"E_F_Kate_Winslet.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_Kate_Winslet.jpg E_M_robert_de_niro.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
13008,"P_F_tehresy_may.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","4","1","12345","P_F_tehresy_may.jpg P_M_donald_trump.jpg",-1.78622559405316,"33","Female","right",1,1,FALSE
