"pair","img_1","img_2","keyPressed"
"P_M_bill_clinton.jpg E_F_keira_knightley.jpg","P_M_bill_clinton.jpg","E_F_keira_knightley.jpg",0.5662
"P_M_bill_clinton.jpg P_F_esther_mcvey.jpg","P_M_bill_clinton.jpg","P_F_esther_mcvey.jpg",0.552
"P_M_bill_clinton.jpg E_F_Judi_Dench.jpg","P_M_bill_clinton.jpg","E_F_Judi_Dench.jpg",0.5178
"P_M_bill_clinton.jpg E_F_jennifer_aniston.jpg","P_M_bill_clinton.jpg","E_F_jennifer_aniston.jpg",0.4575
"P_M_bill_clinton.jpg P_F_angela_rayner.jpg","P_M_bill_clinton.jpg","P_F_angela_rayner.jpg",0.5537
"P_M_bill_clinton.jpg E_F_sandra_bullock.jpg","P_M_bill_clinton.jpg","E_F_sandra_bullock.jpg",0.5032
"P_M_bill_clinton.jpg P_F_PRITI_PATEL.jpg","P_M_bill_clinton.jpg","P_F_PRITI_PATEL.jpg",0.532
"P_M_bill_clinton.jpg P_M_david_cameron.jpg","P_M_bill_clinton.jpg","P_M_david_cameron.jpg",0.327
"P_M_bill_clinton.jpg P_M_george_Wbush.jpg","P_M_bill_clinton.jpg","P_M_george_Wbush.jpg",0.173
"P_M_bill_clinton.jpg E_M_Martin_Freeman.jpg","P_M_bill_clinton.jpg","E_M_Martin_Freeman.jpg",0.4297
"P_M_bill_clinton.jpg E_F_angelina_jolie.jpg","P_M_bill_clinton.jpg","E_F_angelina_jolie.jpg",0.3667
"P_M_bill_clinton.jpg E_M_anthony_hopkins.jpg","P_M_bill_clinton.jpg","E_M_anthony_hopkins.jpg",0.447
"P_M_bill_clinton.jpg P_F_nicola_sturgeon.jpg","P_M_bill_clinton.jpg","P_F_nicola_sturgeon.jpg",0.397
"P_M_bill_clinton.jpg E_M_michael_caine.jpg","P_M_bill_clinton.jpg","E_M_michael_caine.jpg",0.438
"P_M_bill_clinton.jpg E_M_robert_de_niro.jpg","P_M_bill_clinton.jpg","E_M_robert_de_niro.jpg",0.4644
"P_M_bill_clinton.jpg E_F_Kate_Winslet.jpg","P_M_bill_clinton.jpg","E_F_Kate_Winslet.jpg",0.4746
"P_M_bill_clinton.jpg E_M_Hugh_Grant.jpg","P_M_bill_clinton.jpg","E_M_Hugh_Grant.jpg",0.4927
"P_M_bill_clinton.jpg P_M_donald_trump.jpg","P_M_bill_clinton.jpg","P_M_donald_trump.jpg",0.2495
"P_M_bill_clinton.jpg E_M_liam_neeson.jpg","P_M_bill_clinton.jpg","E_M_liam_neeson.jpg",0.406
"P_M_bill_clinton.jpg P_M_boris_johnson.jpg","P_M_bill_clinton.jpg","P_M_boris_johnson.jpg",0.324
"P_M_bill_clinton.jpg E_M_tom_hankes.jpg","P_M_bill_clinton.jpg","E_M_tom_hankes.jpg",0.357
"P_M_bill_clinton.jpg P_F_tehresy_may.jpg","P_M_bill_clinton.jpg","P_F_tehresy_may.jpg",0.4146
"P_M_bill_clinton.jpg P_F_hillary_clinton.jpg","P_M_bill_clinton.jpg","P_F_hillary_clinton.jpg",0.206
"P_M_bill_clinton.jpg P_M_Tony_Blair.jpg","P_M_bill_clinton.jpg","P_M_Tony_Blair.jpg",0.3267
"P_M_bill_clinton.jpg E_M_nicolas_cage.jpg","P_M_bill_clinton.jpg","E_M_nicolas_cage.jpg",0.3687
"E_F_keira_knightley.jpg P_F_esther_mcvey.jpg","E_F_keira_knightley.jpg","P_F_esther_mcvey.jpg",0.6099
"E_F_keira_knightley.jpg E_F_Judi_Dench.jpg","E_F_keira_knightley.jpg","E_F_Judi_Dench.jpg",0.4995
"E_F_keira_knightley.jpg E_F_jennifer_aniston.jpg","E_F_keira_knightley.jpg","E_F_jennifer_aniston.jpg",0.2827
"E_F_keira_knightley.jpg P_F_angela_rayner.jpg","E_F_keira_knightley.jpg","P_F_angela_rayner.jpg",0.5286
"E_F_keira_knightley.jpg E_F_sandra_bullock.jpg","E_F_keira_knightley.jpg","E_F_sandra_bullock.jpg",0.276
"E_F_keira_knightley.jpg P_F_PRITI_PATEL.jpg","E_F_keira_knightley.jpg","P_F_PRITI_PATEL.jpg",0.47
"E_F_keira_knightley.jpg P_M_david_cameron.jpg","E_F_keira_knightley.jpg","P_M_david_cameron.jpg",0.5452
"E_F_keira_knightley.jpg P_M_george_Wbush.jpg","E_F_keira_knightley.jpg","P_M_george_Wbush.jpg",0.566
"E_F_keira_knightley.jpg E_M_Martin_Freeman.jpg","E_F_keira_knightley.jpg","E_M_Martin_Freeman.jpg",0.4243
"E_F_keira_knightley.jpg E_F_angelina_jolie.jpg","E_F_keira_knightley.jpg","E_F_angelina_jolie.jpg",0.2573
"E_F_keira_knightley.jpg E_M_anthony_hopkins.jpg","E_F_keira_knightley.jpg","E_M_anthony_hopkins.jpg",0.5159
"E_F_keira_knightley.jpg P_F_nicola_sturgeon.jpg","E_F_keira_knightley.jpg","P_F_nicola_sturgeon.jpg",0.5618
"E_F_keira_knightley.jpg E_M_michael_caine.jpg","E_F_keira_knightley.jpg","E_M_michael_caine.jpg",0.5847
"E_F_keira_knightley.jpg E_M_robert_de_niro.jpg","E_F_keira_knightley.jpg","E_M_robert_de_niro.jpg",0.468
"E_F_keira_knightley.jpg E_F_Kate_Winslet.jpg","E_F_keira_knightley.jpg","E_F_Kate_Winslet.jpg",0.1724
"E_F_keira_knightley.jpg E_M_Hugh_Grant.jpg","E_F_keira_knightley.jpg","E_M_Hugh_Grant.jpg",0.5305
"E_F_keira_knightley.jpg P_M_donald_trump.jpg","E_F_keira_knightley.jpg","P_M_donald_trump.jpg",0.5632
"E_F_keira_knightley.jpg E_M_liam_neeson.jpg","E_F_keira_knightley.jpg","E_M_liam_neeson.jpg",0.511
"E_F_keira_knightley.jpg P_M_boris_johnson.jpg","E_F_keira_knightley.jpg","P_M_boris_johnson.jpg",0.5913
"E_F_keira_knightley.jpg E_M_tom_hankes.jpg","E_F_keira_knightley.jpg","E_M_tom_hankes.jpg",0.385
"E_F_keira_knightley.jpg P_F_tehresy_may.jpg","E_F_keira_knightley.jpg","P_F_tehresy_may.jpg",0.5461
"E_F_keira_knightley.jpg P_F_hillary_clinton.jpg","E_F_keira_knightley.jpg","P_F_hillary_clinton.jpg",0.517
"E_F_keira_knightley.jpg P_M_Tony_Blair.jpg","E_F_keira_knightley.jpg","P_M_Tony_Blair.jpg",0.5757
"E_F_keira_knightley.jpg E_M_nicolas_cage.jpg","E_F_keira_knightley.jpg","E_M_nicolas_cage.jpg",0.492
"P_F_esther_mcvey.jpg E_F_Judi_Dench.jpg","P_F_esther_mcvey.jpg","E_F_Judi_Dench.jpg",0.4873
"P_F_esther_mcvey.jpg E_F_jennifer_aniston.jpg","P_F_esther_mcvey.jpg","E_F_jennifer_aniston.jpg",0.465
"P_F_esther_mcvey.jpg P_F_angela_rayner.jpg","P_F_esther_mcvey.jpg","P_F_angela_rayner.jpg",0.231
"P_F_esther_mcvey.jpg E_F_sandra_bullock.jpg","P_F_esther_mcvey.jpg","E_F_sandra_bullock.jpg",0.567
"P_F_esther_mcvey.jpg P_F_PRITI_PATEL.jpg","P_F_esther_mcvey.jpg","P_F_PRITI_PATEL.jpg",0.3306
"P_F_esther_mcvey.jpg P_M_david_cameron.jpg","P_F_esther_mcvey.jpg","P_M_david_cameron.jpg",0.3896
"P_F_esther_mcvey.jpg P_M_george_Wbush.jpg","P_F_esther_mcvey.jpg","P_M_george_Wbush.jpg",0.5576
"P_F_esther_mcvey.jpg E_M_Martin_Freeman.jpg","P_F_esther_mcvey.jpg","E_M_Martin_Freeman.jpg",0.5522
"P_F_esther_mcvey.jpg E_F_angelina_jolie.jpg","P_F_esther_mcvey.jpg","E_F_angelina_jolie.jpg",0.476
"P_F_esther_mcvey.jpg E_M_anthony_hopkins.jpg","P_F_esther_mcvey.jpg","E_M_anthony_hopkins.jpg",0.463
"P_F_esther_mcvey.jpg P_F_nicola_sturgeon.jpg","P_F_esther_mcvey.jpg","P_F_nicola_sturgeon.jpg",0.4336
"P_F_esther_mcvey.jpg E_M_michael_caine.jpg","P_F_esther_mcvey.jpg","E_M_michael_caine.jpg",0.5312
"P_F_esther_mcvey.jpg E_M_robert_de_niro.jpg","P_F_esther_mcvey.jpg","E_M_robert_de_niro.jpg",0.5957
"P_F_esther_mcvey.jpg E_F_Kate_Winslet.jpg","P_F_esther_mcvey.jpg","E_F_Kate_Winslet.jpg",0.4854
"P_F_esther_mcvey.jpg E_M_Hugh_Grant.jpg","P_F_esther_mcvey.jpg","E_M_Hugh_Grant.jpg",0.5251
"P_F_esther_mcvey.jpg P_M_donald_trump.jpg","P_F_esther_mcvey.jpg","P_M_donald_trump.jpg",0.519
"P_F_esther_mcvey.jpg E_M_liam_neeson.jpg","P_F_esther_mcvey.jpg","E_M_liam_neeson.jpg",0.6277
"P_F_esther_mcvey.jpg P_M_boris_johnson.jpg","P_F_esther_mcvey.jpg","P_M_boris_johnson.jpg",0.452
"P_F_esther_mcvey.jpg E_M_tom_hankes.jpg","P_F_esther_mcvey.jpg","E_M_tom_hankes.jpg",0.5232
"P_F_esther_mcvey.jpg P_F_tehresy_may.jpg","P_F_esther_mcvey.jpg","P_F_tehresy_may.jpg",0.372
"P_F_esther_mcvey.jpg P_F_hillary_clinton.jpg","P_F_esther_mcvey.jpg","P_F_hillary_clinton.jpg",0.483
"P_F_esther_mcvey.jpg P_M_Tony_Blair.jpg","P_F_esther_mcvey.jpg","P_M_Tony_Blair.jpg",0.4814
"P_F_esther_mcvey.jpg E_M_nicolas_cage.jpg","P_F_esther_mcvey.jpg","E_M_nicolas_cage.jpg",0.5828
"E_F_Judi_Dench.jpg E_F_jennifer_aniston.jpg","E_F_Judi_Dench.jpg","E_F_jennifer_aniston.jpg",0.46
"E_F_Judi_Dench.jpg P_F_angela_rayner.jpg","E_F_Judi_Dench.jpg","P_F_angela_rayner.jpg",0.428
"E_F_Judi_Dench.jpg E_F_sandra_bullock.jpg","E_F_Judi_Dench.jpg","E_F_sandra_bullock.jpg",0.405
"E_F_Judi_Dench.jpg P_F_PRITI_PATEL.jpg","E_F_Judi_Dench.jpg","P_F_PRITI_PATEL.jpg",0.476
"E_F_Judi_Dench.jpg P_M_david_cameron.jpg","E_F_Judi_Dench.jpg","P_M_david_cameron.jpg",0.4775
"E_F_Judi_Dench.jpg P_M_george_Wbush.jpg","E_F_Judi_Dench.jpg","P_M_george_Wbush.jpg",0.5173
"E_F_Judi_Dench.jpg E_M_Martin_Freeman.jpg","E_F_Judi_Dench.jpg","E_M_Martin_Freeman.jpg",0.4697
