RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5040,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5359,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3977,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
8471,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2646,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2746,E_F_keira_knightley.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4008,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4772,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2681,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1925,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2642,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2448,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2596,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1933,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1564,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1936,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1996,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4405,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3556,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
3919,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1821,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2471,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
