RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4623,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
8622,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5530,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3709,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
16416,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3230,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3512,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6519,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4181,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3018,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3513,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3339,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4369,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3016,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3017,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3523,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5034,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5603,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4948,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3473,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5456,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
1705,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
1684,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3203,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
10002,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3401,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3179,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2785,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2424,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2162,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4378,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
1336,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
1829,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
1903,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2843,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3401,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3302,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4007,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4177,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3759,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4748,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2423,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3772,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3796,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6218,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2139,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2893,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2953,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2631,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2275,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
1766,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6377,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2385,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2384,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
2647,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3870,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3178,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
319865,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5739,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3413,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
7990,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
7492,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4932,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5118,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
23885,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4279,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6007,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
19225,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5005,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4847,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4252,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4994,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6034,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5193,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3995,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5626,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
8879,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5292,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
5873,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
7863,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
4598,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3338,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
6047,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
3711,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c80032be4862d0001e63f07,"11/30/2021, 12:18:50"
