RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
6904,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4509,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
5683,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3175,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
5778,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3221,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3353,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3600,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4683,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3536,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3353,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
3516,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
