"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
7563,"E_M_robert_de_niro.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,1,0,0,TRUE,"E_M_robert_de_niro.jpg P_M_david_cameron.jpg"
2588,"P_F_PRITI_PATEL.jpg","P_M_george_Wbush.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,1,0,0,TRUE,"P_F_PRITI_PATEL.jpg P_M_george_Wbush.jpg"
2565,"E_M_anthony_hopkins.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,1,0,0,TRUE,"E_M_anthony_hopkins.jpg P_F_tehresy_may.jpg"
2013,"E_F_angelina_jolie.jpg","E_F_jennifer_aniston.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",1,1,0,0,TRUE,"E_F_angelina_jolie.jpg E_F_jennifer_aniston.jpg"
2459,"E_M_Hugh_Grant.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,0,0,0,TRUE,"E_M_Hugh_Grant.jpg E_M_tom_hankes.jpg"
2056,"E_F_sandra_bullock.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,1,0,0,TRUE,"E_F_sandra_bullock.jpg P_F_tehresy_may.jpg"
2374,"E_F_keira_knightley.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,0,0,0,TRUE,"E_F_keira_knightley.jpg E_M_michael_caine.jpg"
1893,"E_M_Hugh_Grant.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,1,0,0,TRUE,"E_M_Hugh_Grant.jpg P_M_donald_trump.jpg"
1917,"E_F_sandra_bullock.jpg","P_F_esther_mcvey.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,0,0,0,TRUE,"E_F_sandra_bullock.jpg P_F_esther_mcvey.jpg"
4412,"P_F_hillary_clinton.jpg","P_F_nicola_sturgeon.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","4","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",-0.81937664707494,"30","Female","right",0,0,0,0,TRUE,"P_F_hillary_clinton.jpg P_F_nicola_sturgeon.jpg"
3365,"E_M_tom_hankes.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,0,0,0,TRUE,"E_M_tom_hankes.jpg P_M_bill_clinton.jpg"
2309,"P_F_angela_rayner.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,1,0,0,TRUE,"P_F_angela_rayner.jpg P_M_donald_trump.jpg"
2017,"P_F_nicola_sturgeon.jpg","P_M_boris_johnson.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",0,1,0,0,TRUE,"P_F_nicola_sturgeon.jpg P_M_boris_johnson.jpg"
2870,"P_F_tehresy_may.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","559e16a2fdf99b4f0b984e34","11/29/2021, 17:32:33",0.482811178349782,"30","Female","right",1,1,0,0,TRUE,"P_F_tehresy_may.jpg P_M_donald_trump.jpg"
