RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
7563,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2588,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2565,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2013,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2459,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2056,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2374,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1893,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1917,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4412,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3365,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2309,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2017,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2870,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1902,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2957,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3260,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3597,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2511,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2014,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3272,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4565,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
9626,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2606,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5279,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2317,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2038,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1358,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1381,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1002,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2454,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1846,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1237,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1332,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4904,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2598,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1334,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2866,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1850,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1542,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4509,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2054,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1422,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3526,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1686,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2872,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2281,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1801,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
4390,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1654,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
