RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8840,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
21433,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
13307,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7431,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8359,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
10453,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
11807,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
13790,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7177,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9809,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6696,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5335,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7537,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
23849,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6381,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7463,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7479,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6770,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7016,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7447,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8188,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6050,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7982,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
10107,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
18133,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5288,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9207,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
13601,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
34108,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
14517,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5789,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8556,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4765,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
36851,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7106,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5112,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6205,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6104,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5709,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7882,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5632,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5151,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6457,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8701,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4200,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8143,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5199,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6188,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
35241,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9625,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5957,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4658,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8766,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4542,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4870,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6765,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
3926,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4593,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5740,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6291,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6495,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
23431,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
36819,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5103,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4465,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6003,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4483,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5328,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6556,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
3731,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7337,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
37259,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6660,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
17858,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8651,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6901,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7073,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9366,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7182,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
