RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4105,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2619,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2433,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4063,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3884,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3479,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3079,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3920,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
5126,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2634,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2939,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3644,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4752,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3061,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3433,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4714,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2531,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3730,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3352,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2206,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3243,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4745,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3202,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3769,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3174,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3443,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2315,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2546,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2567,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2387,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2571,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4294,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3019,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2271,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3138,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1792,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2904,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2687,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2105,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2388,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2570,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4216,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3423,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4484,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4110,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2362,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3684,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1881,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1408,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1309,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3579,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2986,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1707,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2253,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3989,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2993,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2354,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4941,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2584,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
