RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
7748,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
14411,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6613,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5490,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3517,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5864,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6810,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6465,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
11833,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
8295,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5135,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6055,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5317,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4078,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3391,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3114,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6502,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4548,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4973,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4547,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3834,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
