RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
7280,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
5268,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4723,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3479,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2830,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
5185,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3753,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
5840,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4184,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3834,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4513,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3968,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2304,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3299,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3169,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2867,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4029,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
4006,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2460,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3139,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2087,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2471,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2268,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
3198,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
2616,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61484d1c25f733072ada4fdd,"11/30/2021, 18:20:34"
