RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
5068,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4985,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
5328,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3094,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3090,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3099,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3405,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3683,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4374,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3589,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2737,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2934,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4868,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4854,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3309,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4787,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4986,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
