RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
10371,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3207,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3919,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3260,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5115,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2820,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3029,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3692,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3427,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2698,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2560,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3234,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5523,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2771,E_F_keira_knightley.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2909,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2301,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2428,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2875,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4183,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4387,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3631,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2384,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3143,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2670,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3132,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5611,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3009,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3501,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3628,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2812,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2373,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2376,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3085,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4804,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2970,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3045,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2994,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3122,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2209,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3528,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5104,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4117,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4265,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2389,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2615,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2905,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2939,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2279,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2836,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2704,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2901,E_M_anthony_hopkins.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3811,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
6224,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2950,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3429,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3650,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2227,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2262,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3801,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2827,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3844,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2879,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2510,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2731,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2766,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3061,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2759,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3865,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2944,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
