RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
9281,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5079,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5692,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5448,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
9581,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
13927,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
6681,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5920,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
27553,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
27177,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4681,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3787,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3267,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3157,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5946,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
7760,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4071,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5209,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4634,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
38912,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
19533,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3360,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4824,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
8004,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5702,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
16180,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4367,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3262,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5437,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5049,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
10096,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4353,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3545,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
6923,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
9847,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
16880,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
6626,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3621,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3554,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
36271,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3314,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
