RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5009,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3370,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5095,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5615,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3678,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3783,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4288,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4251,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4971,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3650,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4279,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3777,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3816,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4202,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5069,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3911,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3681,E_M_liam_neeson.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5079,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
2937,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
2891,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4048,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4952,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4915,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3329,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5177,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3863,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3369,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
