RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4167,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3914,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
3062,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2190,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
4679,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2989,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2518,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2699,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2572,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2105,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
