RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3647,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2524,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2078,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2911,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1731,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1694,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3454,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4309,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
5048,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2421,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4783,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3471,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2542,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2109,E_M_liam_neeson.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2390,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2151,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3501,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3287,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2246,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1879,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1975,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
5655,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1582,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1957,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3022,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3782,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4422,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1856,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
5578,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2853,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3053,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1679,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2179,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3456,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2885,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2190,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2494,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2470,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2343,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4823,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2515,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3030,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2157,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2591,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1710,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3382,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3256,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1838,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2783,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2612,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2576,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1734,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3077,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2712,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1605,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4093,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4717,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3030,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
