RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5280,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3536,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3200,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4552,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5855,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4563,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
7483,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5828,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4647,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5966,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3905,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3178,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
6537,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4198,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3119,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3236,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4290,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4991,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
16901,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4872,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2747,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3220,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4443,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
10000,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4770,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5269,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5486,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
13190,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3101,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4524,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5909,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5261,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
7396,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4106,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
9195,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4360,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5405,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2964,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3434,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4431,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3016,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
40519,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5781,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2813,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5437,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3363,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2722,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4650,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
14101,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4460,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3629,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
10440,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2966,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2862,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3434,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
15426,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
