"pair","img_1","img_2","keyPressed"
"E_F_galit_gutman.png E_F_ilanit.png","E_F_galit_gutman.png","E_F_ilanit.png",0.25214958190918
"E_F_galit_gutman.png E_F_ninet.png","E_F_galit_gutman.png","E_F_ninet.png",0.436342418193817
"E_F_galit_gutman.png E_F_rotem_sela.png","E_F_galit_gutman.png","E_F_rotem_sela.png",0.414897322654724
"E_F_galit_gutman.png E_F_shiri.png","E_F_galit_gutman.png","E_F_shiri.png",0.377623558044434
"E_F_galit_gutman.png E_M_asi.png","E_F_galit_gutman.png","E_M_asi.png",0.317276000976562
"E_F_galit_gutman.png E_M_danker.png","E_F_galit_gutman.png","E_M_danker.png",0.415697872638702
"E_F_galit_gutman.png E_M_ido.png","E_F_galit_gutman.png","E_M_ido.png",0.418968141078949
"E_F_galit_gutman.png E_M_liorA.png","E_F_galit_gutman.png","E_M_liorA.png",0.493536770343781
"E_F_galit_gutman.png E_M_yuda.png","E_F_galit_gutman.png","E_M_yuda.png",0.351787507534027
"E_F_galit_gutman.png P_F_michaeli.png","E_F_galit_gutman.png","P_F_michaeli.png",0.471367597579956
"E_F_galit_gutman.png P_F_regev.png","E_F_galit_gutman.png","P_F_regev.png",0.482118606567383
"E_F_galit_gutman.png P_F_shaked.png","E_F_galit_gutman.png","P_F_shaked.png",0.508574664592743
"E_F_galit_gutman.png P_F_staiv.png","E_F_galit_gutman.png","P_F_staiv.png",0.461565017700195
"E_F_galit_gutman.png P_M_gantz.png","E_F_galit_gutman.png","P_M_gantz.png",0.453370451927185
"E_F_galit_gutman.png P_M_lapid.png","E_F_galit_gutman.png","P_M_lapid.png",0.433209717273712
"E_F_galit_gutman.png P_M_benet.png","E_F_galit_gutman.png","P_M_benet.png",0.598304510116577
"E_F_galit_gutman.png P_M_buji.png","E_F_galit_gutman.png","P_M_buji.png",0.421813607215881
"E_F_galit_gutman.png P_M_saar.png","E_F_galit_gutman.png","P_M_saar.png",0.568254709243774
"E_F_galit_gutman.png P_M_smut.png","E_F_galit_gutman.png","P_M_smut.png",0.484666168689728
"E_F_ilanit.png E_F_ninet.png","E_F_ilanit.png","E_F_ninet.png",0.297626674175262
"E_F_ilanit.png E_F_rotem_sela.png","E_F_ilanit.png","E_F_rotem_sela.png",0.253865659236908
"E_F_ilanit.png E_F_shiri.png","E_F_ilanit.png","E_F_shiri.png",0.312627792358398
"E_F_ilanit.png E_M_asi.png","E_F_ilanit.png","E_M_asi.png",0.286078929901123
"E_F_ilanit.png E_M_danker.png","E_F_ilanit.png","E_M_danker.png",0.321760594844818
"E_F_ilanit.png E_M_ido.png","E_F_ilanit.png","E_M_ido.png",0.413246870040894
"E_F_ilanit.png E_M_liorA.png","E_F_ilanit.png","E_M_liorA.png",0.409684062004089
"E_F_ilanit.png E_M_yuda.png","E_F_ilanit.png","E_M_yuda.png",0.213677942752838
"E_F_ilanit.png P_F_michaeli.png","E_F_ilanit.png","P_F_michaeli.png",0.411500096321106
"E_F_ilanit.png P_F_regev.png","E_F_ilanit.png","P_F_regev.png",0.473583817481995
"E_F_ilanit.png P_F_shaked.png","E_F_ilanit.png","P_F_shaked.png",0.440846800804138
"E_F_ilanit.png P_F_staiv.png","E_F_ilanit.png","P_F_staiv.png",0.394070267677307
"E_F_ilanit.png P_M_gantz.png","E_F_ilanit.png","P_M_gantz.png",0.577401518821716
"E_F_ilanit.png P_M_lapid.png","E_F_ilanit.png","P_M_lapid.png",0.345060229301453
"E_F_ilanit.png P_M_benet.png","E_F_ilanit.png","P_M_benet.png",0.561788320541382
"E_F_ilanit.png P_M_buji.png","E_F_ilanit.png","P_M_buji.png",0.449665486812592
"E_F_ilanit.png P_M_saar.png","E_F_ilanit.png","P_M_saar.png",0.575641512870789
"E_F_ilanit.png P_M_smut.png","E_F_ilanit.png","P_M_smut.png",0.486608445644379
"E_F_ninet.png E_F_rotem_sela.png","E_F_ninet.png","E_F_rotem_sela.png",0.305686414241791
"E_F_ninet.png E_F_shiri.png","E_F_ninet.png","E_F_shiri.png",0.295306146144867
"E_F_ninet.png E_M_asi.png","E_F_ninet.png","E_M_asi.png",0.387051820755005
"E_F_ninet.png E_M_danker.png","E_F_ninet.png","E_M_danker.png",0.415382623672485
"E_F_ninet.png E_M_ido.png","E_F_ninet.png","E_M_ido.png",0.465165972709656
"E_F_ninet.png E_M_liorA.png","E_F_ninet.png","E_M_liorA.png",0.462014675140381
"E_F_ninet.png E_M_yuda.png","E_F_ninet.png","E_M_yuda.png",0.396275341510773
"E_F_ninet.png P_F_michaeli.png","E_F_ninet.png","P_F_michaeli.png",0.504336833953857
"E_F_ninet.png P_F_regev.png","E_F_ninet.png","P_F_regev.png",0.653967142105103
"E_F_ninet.png P_F_shaked.png","E_F_ninet.png","P_F_shaked.png",0.584372401237488
"E_F_ninet.png P_F_staiv.png","E_F_ninet.png","P_F_staiv.png",0.536993682384491
"E_F_ninet.png P_M_gantz.png","E_F_ninet.png","P_M_gantz.png",0.647108912467957
