"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"7278","P_F_regev.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",4,"P_F_regev.png P_M_buji.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"4931","E_M_ido.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",1,"E_M_ido.png E_M_yuda.png",-2.75483607315652,"35","Female","right","56bb5211724769000db74a25"
"3160","E_M_liorA.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",1,"E_M_liorA.png E_M_yuda.png",-2.75483607315652,"35","Female","right","56bb5211724769000db74a25"
"5275","E_M_yuda.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",3,"E_M_yuda.png P_F_michaeli.png",-1.17111790704536,"35","Female","right","56bb5211724769000db74a25"
"3628","E_F_rotem_sela.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_rotem_sela.png P_M_buji.png",0.412600259065803,"35","Female","right","56bb5211724769000db74a25"
"7736","E_F_ninet.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_ninet.png P_M_smut.png",0.412600259065803,"35","Female","right","56bb5211724769000db74a25"
"5445","E_F_ilanit.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"E_F_ilanit.png P_F_staiv.png",-1.17111790704536,"35","Female","right","56bb5211724769000db74a25"
"4019","P_F_regev.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",4,"P_F_regev.png P_M_smut.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"3907","E_F_ninet.png","E_F_rotem_sela.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",6,"E_F_ninet.png E_F_rotem_sela.png",1.20445934212138,"35","Female","right","56bb5211724769000db74a25"
"4598","E_F_ninet.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_ninet.png P_M_lapid.png",1.20445934212138,"35","Female","right","56bb5211724769000db74a25"
"6564","E_F_galit_gutman.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",4,"E_F_galit_gutman.png P_F_staiv.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"4324","E_M_ido.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_ido.png P_M_buji.png",0.412600259065803,"35","Female","right","56bb5211724769000db74a25"
"3148","E_M_liorA.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"E_M_liorA.png P_F_shaked.png",1.20445934212138,"35","Female","right","56bb5211724769000db74a25"
"7950","E_F_rotem_sela.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"E_F_rotem_sela.png P_F_regev.png",-1.17111790704536,"35","Female","right","56bb5211724769000db74a25"
"4885","E_F_ilanit.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_ilanit.png P_M_smut.png",1.20445934212138,"35","Female","right","56bb5211724769000db74a25"
"5101","E_F_shiri.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",3,"E_F_shiri.png E_M_asi.png",-1.17111790704536,"35","Female","right","56bb5211724769000db74a25"
"5014","E_M_danker.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_danker.png P_M_benet.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"5698","E_M_danker.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_danker.png P_M_buji.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"7384","E_M_liorA.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"E_M_liorA.png P_M_buji.png",-1.17111790704536,"35","Female","right","56bb5211724769000db74a25"
"6147","E_M_danker.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",1,"E_M_danker.png P_F_michaeli.png",-2.75483607315652,"35","Female","right","56bb5211724769000db74a25"
"5611","E_F_rotem_sela.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_rotem_sela.png P_M_smut.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"3844","E_F_shiri.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"E_F_shiri.png P_F_staiv.png",-1.17111790704536,"35","Female","right","56bb5211724769000db74a25"
"4258","P_F_shaked.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",4,"P_F_shaked.png P_F_staiv.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"3926","P_M_lapid.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",4,"P_M_lapid.png P_M_saar.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
"6522","P_M_lapid.png","P_M_benet.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",5,"P_M_lapid.png P_M_benet.png",0.412600259065803,"35","Female","right","56bb5211724769000db74a25"
"16298","E_M_ido.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_ido.png P_F_staiv.png",-0.379258823989778,"35","Female","right","56bb5211724769000db74a25"
