"","E_F_galit_gutman.png","E_F_ilanit.png","E_F_ninet.png","E_F_rotem_sela.png","E_F_shiri.png","E_M_asi.png","E_M_danker.png","E_M_ido.png","E_M_liorA.png","E_M_yuda.png","P_F_michaeli.png","P_F_regev.png","P_F_shaked.png","P_F_staiv.png","P_M_benet.png","P_M_buji.png","P_M_gantz.png","P_M_lapid.png","P_M_saar.png","P_M_smut.png"
"E_F_galit_gutman.png",NA,4.22222222222222,5.05555555555556,3.76470588235294,3.70588235294118,5.21052631578947,5.21052631578947,4.63157894736842,5.5625,5.29411764705882,4,4.84210526315789,4.63157894736842,4.36842105263158,5.36842105263158,5.42105263157895,5.41176470588235,5.6,5.52631578947368,5.35294117647059
"E_F_ilanit.png",4.22222222222222,NA,4,3.64705882352941,2.82352941176471,3.77777777777778,5.33333333333333,5.33333333333333,4.66666666666667,5.125,4.05555555555556,4,3.55555555555556,4.05555555555556,4.61111111111111,5.27777777777778,5,5.28571428571429,4.66666666666667,5.35294117647059
"E_F_ninet.png",5.05555555555556,4,NA,4.75,3.625,4.38888888888889,5.11111111111111,5.27777777777778,5.26666666666667,5.25,3.88888888888889,2.72222222222222,2.77777777777778,4.88888888888889,5.5,5.44444444444444,5.17647058823529,5.66666666666667,5.27777777777778,5.17647058823529
"E_F_rotem_sela.png",3.76470588235294,3.64705882352941,4.75,NA,3.4375,4.35294117647059,4.70588235294118,4.94117647058824,5.13333333333333,4.86666666666667,3.41176470588235,3.58823529411765,3.11764705882353,3.64705882352941,4.82352941176471,5.41176470588235,5.1875,5.64285714285714,5,5.1875
"E_F_shiri.png",3.70588235294118,2.82352941176471,3.625,3.4375,NA,4.17647058823529,4.35294117647059,5.05882352941176,4.64285714285714,4.8,3.82352941176471,3.88235294117647,3.88235294117647,4.35294117647059,5.11764705882353,5.47058823529412,5.26666666666667,4.84615384615385,4.82352941176471,4.75
"E_M_asi.png",5.21052631578947,3.77777777777778,4.38888888888889,4.35294117647059,4.17647058823529,NA,3.36842105263158,3.73684210526316,3.75,4.23529411764706,3.78947368421053,4.84210526315789,4.84210526315789,4.84210526315789,4.36842105263158,4.05263157894737,4.64705882352941,4.4,3.94736842105263,4.58823529411765
"E_M_danker.png",5.21052631578947,5.33333333333333,5.11111111111111,4.70588235294118,4.35294117647059,3.36842105263158,NA,2.31578947368421,3.125,3,3.57894736842105,4.78947368421053,5,5.15789473684211,4.89473684210526,4.15789473684211,5.11764705882353,4.26666666666667,4.15789473684211,3.29411764705882
"E_M_ido.png",4.63157894736842,5.33333333333333,5.27777777777778,4.94117647058824,5.05882352941176,3.73684210526316,2.31578947368421,NA,4.4375,2.52941176470588,3.73684210526316,5.10526315789474,4.89473684210526,5.26315789473684,4.89473684210526,5.15789473684211,4.64705882352941,4.66666666666667,4.26315789473684,4.23529411764706
"E_M_liorA.png",5.5625,4.66666666666667,5.26666666666667,5.13333333333333,4.64285714285714,3.75,3.125,4.4375,NA,2.93333333333333,5,5.1875,5.3125,5.25,4.9375,3.6875,4,3.85714285714286,4.375,4.07142857142857
"E_M_yuda.png",5.29411764705882,5.125,5.25,4.86666666666667,4.8,4.23529411764706,3,2.52941176470588,2.93333333333333,NA,4.41176470588235,4.82352941176471,4.70588235294118,5.17647058823529,4.76470588235294,3.82352941176471,4.66666666666667,4.42857142857143,4.47058823529412,3.2
