"","E_F_ilanit.png","E_F_ninet.png","E_F_rotem_sela.png","E_F_shiri.png","E_M_asi.png","E_M_danker.png","E_M_ido.png","E_M_liorA.png","E_M_yuda.png","P_F_michaeli.png","P_F_regev.png","P_F_shaked.png","P_M_benet.png","P_M_buji.png","P_M_gantz.png","P_M_lapid.png","P_M_saar.png","P_M_smut.png"
"E_F_ilanit.png",NA,4.7,4.3,3.25,5,5.5,5.45,5.1,5.3,5.1,4.7,4.7,5,5.4,4.8,5.3,5.55,5.2
"E_F_ninet.png",4.7,NA,5.15,4.65,4.7,5.35,5.5,5.25,4.75,4.35,3.75,3.55,5.4,5.55,5.2,4.9,5.25,5.6
"E_F_rotem_sela.png",4.3,5.15,NA,3.9,4.9,4.85,4.55,5.35,4.7,4.1,4.9,4.1,5.7,5.05,5.05,5.75,5.45,5.4
"E_F_shiri.png",3.25,4.65,3.9,NA,4.25,4.6,5.1,4.9,4.85,4.55,4.5,4.15,5.4,5.35,4.85,5.05,5,4.75
"E_M_asi.png",5,4.7,4.9,4.25,NA,3.6,3.7,4.35,4.4,4.6,5,5,5.35,5,4.95,4.95,4.55,5
"E_M_danker.png",5.5,5.35,4.85,4.6,3.6,NA,2.05,4.6,3.25,3.9,5.25,5.3,5.4,5,5.05,4.5,4.65,4
"E_M_ido.png",5.45,5.5,4.55,5.1,3.7,2.05,NA,4.1,3.3,4.2,5.6,5.3,5.3,5.1,5.1,4.8,4.4,4.55
"E_M_liorA.png",5.1,5.25,5.35,4.9,4.35,4.6,4.1,NA,3.15,5.25,5.3,5.3,5.25,3.85,3.55,3.9,4.45,4.55
"E_M_yuda.png",5.3,4.75,4.7,4.85,4.4,3.25,3.3,3.15,NA,4.9,5.2,4.75,5.3,4.2,4.3,4.65,4.95,3.9
"P_F_michaeli.png",5.1,4.35,4.1,4.55,4.6,3.9,4.2,5.25,4.9,NA,4.3,4.4,5.55,5.05,5.45,5.25,4.45,5.5
"P_F_regev.png",4.7,3.75,4.9,4.5,5,5.25,5.6,5.3,5.2,4.3,NA,3.45,5.1,4.95,5.75,5.4,5.35,5.3
"P_F_shaked.png",4.7,3.55,4.1,4.15,5,5.3,5.3,5.3,4.75,4.4,3.45,NA,5,5.2,5.4,5.5,5.35,5.15
"P_M_benet.png",5,5.4,5.7,5.4,5.35,5.4,5.3,5.25,5.3,5.55,5.1,5,NA,5.05,5.2,5.1,5,4.9
"P_M_buji.png",5.4,5.55,5.05,5.35,5,5,5.1,3.85,4.2,5.05,4.95,5.2,5.05,NA,4.1,4.9,3.55,4.5
"P_M_gantz.png",4.8,5.2,5.05,4.85,4.95,5.05,5.1,3.55,4.3,5.45,5.75,5.4,5.2,4.1,NA,4.55,4.35,5.1
"P_M_lapid.png",5.3,4.9,5.75,5.05,4.95,4.5,4.8,3.9,4.65,5.25,5.4,5.5,5.1,4.9,4.55,NA,4.75,4.65
"P_M_saar.png",5.55,5.25,5.45,5,4.55,4.65,4.4,4.45,4.95,4.45,5.35,5.35,5,3.55,4.35,4.75,NA,5
"P_M_smut.png",5.2,5.6,5.4,4.75,5,4,4.55,4.55,3.9,5.5,5.3,5.15,4.9,4.5,5.1,4.65,5,NA
