"","E_F_galit_gutman.png","E_F_ilanit.png","E_F_ninet.png","E_F_rotem_sela.png","E_F_shiri.png","E_M_asi.png","E_M_danker.png","E_M_ido.png","E_M_liorA.png","E_M_yuda.png","P_F_michaeli.png","P_F_regev.png","P_F_shaked.png","P_F_staiv.png","P_M_benet.png","P_M_buji.png","P_M_gantz.png","P_M_lapid.png","P_M_saar.png","P_M_smut.png"
"E_F_galit_gutman.png",NA,3.69230769230769,5.33333333333333,3.3125,4.2,5.5,5.4375,4.8,4.5,4.5,4.66666666666667,5.53846153846154,4.85714285714286,5,5.5625,5.42857142857143,5,5.625,5.64285714285714,5.46153846153846
"E_F_ilanit.png",3.69230769230769,NA,4.75,4.0625,3.1875,4.9375,5.4375,5.4,5.08333333333333,5.13333333333333,5.1875,4.71428571428571,4.625,4.54545454545455,5.1875,5.26666666666667,4.6875,5.3125,5.625,5.2
"E_F_ninet.png",5.33333333333333,4.75,NA,5.15789473684211,4.55555555555556,4.63157894736842,5.31578947368421,5.44444444444444,5.21428571428571,4.77777777777778,4.36842105263158,4.06666666666667,3.5,4.81818181818182,5.42105263157895,5.6875,5.15789473684211,4.94736842105263,5.17647058823529,5.64705882352941
"E_F_rotem_sela.png",3.3125,4.0625,5.15789473684211,NA,3.94736842105263,4.9,4.85,4.61111111111111,5.57142857142857,4.77777777777778,4.05263157894737,5.13333333333333,4.16666666666667,4.54545454545455,5.7,5.0625,5.05,5.75,5.47058823529412,5.35294117647059
"E_F_shiri.png",4.2,3.1875,4.55555555555556,3.94736842105263,NA,4.26315789473684,4.57894736842105,5.05882352941176,5.14285714285714,4.94117647058824,4.5,4.66666666666667,4.11111111111111,4.63636363636364,5.36842105263158,5.1875,4.78947368421053,5,5.05882352941176,4.76470588235294
"E_M_asi.png",5.5,4.9375,4.63157894736842,4.9,4.26315789473684,NA,3.6,3.66666666666667,4.42857142857143,4.44444444444444,4.57894736842105,5.13333333333333,4.88888888888889,5.72727272727273,5.35,5.0625,4.95,4.95,4.47058823529412,5.05882352941176
"E_M_danker.png",5.4375,5.4375,5.31578947368421,4.85,4.57894736842105,3.6,NA,1.88888888888889,4.71428571428571,3.27777777777778,3.84210526315789,5.4,5.22222222222222,5.45454545454545,5.4,5.1875,5.05,4.5,4.64705882352941,4.23529411764706
"E_M_ido.png",4.8,5.4,5.44444444444444,4.61111111111111,5.05882352941176,3.66666666666667,1.88888888888889,NA,4.35714285714286,3.23529411764706,4.22222222222222,5.66666666666667,5.29411764705882,5.81818181818182,5.22222222222222,5.33333333333333,5.11111111111111,4.72222222222222,4.3125,4.6875
"E_M_liorA.png",4.5,5.08333333333333,5.21428571428571,5.57142857142857,5.14285714285714,4.42857142857143,4.71428571428571,4.35714285714286,NA,3.42857142857143,5.28571428571429,5.46153846153846,5.28571428571429,5.09090909090909,5,3.92307692307692,3.28571428571429,3.71428571428571,4.61538461538461,4.64285714285714
"E_M_yuda.png",4.5,5.13333333333333,4.77777777777778,4.77777777777778,4.94117647058824,4.44444444444444,3.27777777777778,3.23529411764706,3.42857142857143,NA,4.83333333333333,5.4,4.70588235294118,5.27272727272727,5.38888888888889,4.4,4.33333333333333,4.61111111111111,5,4
"P_F_michaeli.png",4.66666666666667,5.1875,4.36842105263158,4.05263157894737,4.5,4.57894736842105,3.84210526315789,4.22222222222222,5.28571428571429,4.83333333333333,NA,4.2,4.33333333333333,4.90909090909091,5.52631578947368,5.0625,5.42105263157895,5.21052631578947,4.41176470588235,5.58823529411765
"P_F_regev.png",5.53846153846154,4.71428571428571,4.06666666666667,5.13333333333333,4.66666666666667,5.13333333333333,5.4,5.66666666666667,5.46153846153846,5.4,4.2,NA,3.73333333333333,4.90909090909091,5.4,5.28571428571429,5.93333333333333,5.66666666666667,5.53333333333333,5.2
"P_F_shaked.png",4.85714285714286,4.625,3.5,4.16666666666667,4.11111111111111,4.88888888888889,5.22222222222222,5.29411764705882,5.28571428571429,4.70588235294118,4.33333333333333,3.73333333333333,NA,4,4.94444444444444,5.125,5.44444444444444,5.5,5.35294117647059,5.17647058823529
"P_F_staiv.png",5,4.54545454545455,4.81818181818182,4.54545454545455,4.63636363636364,5.72727272727273,5.45454545454545,5.81818181818182,5.09090909090909,5.27272727272727,4.90909090909091,4.90909090909091,4,NA,5,5,4.63636363636364,5.81818181818182,5.63636363636364,5.27272727272727
"P_M_benet.png",5.5625,5.1875,5.42105263157895,5.7,5.36842105263158,5.35,5.4,5.22222222222222,5,5.38888888888889,5.52631578947368,5.4,4.94444444444444,5,NA,5.125,5.2,5.1,5,4.76470588235294
"P_M_buji.png",5.42857142857143,5.26666666666667,5.6875,5.0625,5.1875,5.0625,5.1875,5.33333333333333,3.92307692307692,4.4,5.0625,5.28571428571429,5.125,5,5.125,NA,4.125,5.125,3.625,4.26666666666667
"P_M_gantz.png",5,4.6875,5.15789473684211,5.05,4.78947368421053,4.95,5.05,5.11111111111111,3.28571428571429,4.33333333333333,5.42105263157895,5.93333333333333,5.44444444444444,4.63636363636364,5.2,4.125,NA,4.55,4.41176470588235,5.11764705882353
"P_M_lapid.png",5.625,5.3125,4.94736842105263,5.75,5,4.95,4.5,4.72222222222222,3.71428571428571,4.61111111111111,5.21052631578947,5.66666666666667,5.5,5.81818181818182,5.1,5.125,4.55,NA,4.70588235294118,4.52941176470588
"P_M_saar.png",5.64285714285714,5.625,5.17647058823529,5.47058823529412,5.05882352941176,4.47058823529412,4.64705882352941,4.3125,4.61538461538461,5,4.41176470588235,5.53333333333333,5.35294117647059,5.63636363636364,5,3.625,4.41176470588235,4.70588235294118,NA,5.0625
"P_M_smut.png",5.46153846153846,5.2,5.64705882352941,5.35294117647059,4.76470588235294,5.05882352941176,4.23529411764706,4.6875,4.64285714285714,4,5.58823529411765,5.2,5.17647058823529,5.27272727272727,4.76470588235294,4.26666666666667,5.11764705882353,4.52941176470588,5.0625,NA
