RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
6768,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4401,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
5669,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
5114,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4357,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2478,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
5791,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2536,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
5640,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2403,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3604,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
9790,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4259,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
