RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
4735,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3452,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3451,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3029,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
4245,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2783,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3007,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3463,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1735,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2044,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2464,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3911,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3231,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2101,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3715,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3085,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
5500,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3494,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3719,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2492,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3479,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
7941,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
10974,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3061,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2256,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
442,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
450,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3498,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
4433,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1926,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3066,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2106,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2116,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2763,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3338,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2591,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2408,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3135,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
5825,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2037,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1419,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3426,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
4890,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
5898,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1950,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1317,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
592,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2497,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
607,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1659,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1422,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2247,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1663,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1426,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3548,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1349,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
445,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
813,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
703,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2119,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
3370,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
928,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
577,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
538,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
420,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2604,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2553,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1656,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
659,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
447,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
518,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
590,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
494,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
497,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
1058,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
765,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
637,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
2101,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
5155,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5e29c7b8884487028f82e333,"06/13/2022, 18:37:55"
