RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
8501,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4311,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5389,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
16440,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6166,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6112,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5811,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5906,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5008,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4513,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
7236,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
11193,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
4067,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6591,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5217,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
