RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4477,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4508,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3428,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4226,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2887,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2800,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4506,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3058,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2999,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2968,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4154,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3104,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4415,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3772,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4411,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3195,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4253,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4225,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3755,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2835,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4852,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3928,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4793,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4065,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3477,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3617,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
5407,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3112,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4933,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
6751,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4826,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
5324,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3236,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2834,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2975,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
4775,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
5107,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3498,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2907,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
3344,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
2783,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f7db040ea05e529d126f48a,"06/14/2022, 09:05:05"
