RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
9217,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4886,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6821,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4221,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5444,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6679,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4511,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4302,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4732,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4168,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7118,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4055,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3669,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
13936,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3662,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6557,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
7734,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
11190,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4098,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6051,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5704,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3572,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3103,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5321,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3960,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3217,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
4049,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
10967,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6843,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5695,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5117,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5192,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6902,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
6608,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
3293,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
5770,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5fac0bac338ce610211dc350,"06/14/2022, 07:22:47"
