RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4418,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4958,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4734,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4483,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
5025,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2537,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3810,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
6423,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
7753,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4814,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3087,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2414,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
5932,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3827,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3924,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4079,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2951,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2990,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2867,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2995,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3466,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
5799,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2349,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4917,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2998,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
6767,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
16496,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2630,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2626,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2839,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
