RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
6970,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
5038,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
31746,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
6381,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
48291,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
3022,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
4336,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
2843,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
2827,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
3023,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
3182,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
2454,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
4394,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
3229,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,61327d64b2aa927d577068da,"06/12/2022, 13:10:28"
