"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
10623,"E_C_F_ornaBanai.jpg","P_P_M_benet.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","3","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",-0.255932315351385,"27","M","left",1,1,0,0,FALSE,"E_C_F_ornaBanai.jpg P_P_M_benet.jpg"
11520,"E_C_F_harLev.jpg","P_P_M_peretz.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",1.33840014093593,"27","M","left",1,1,0,0,FALSE,"E_C_F_harLev.jpg P_P_M_peretz.jpg"
10151,"E_C_M_katorza.jpg","P_N_M_lapid.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","2","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",-1.05309854349504,"27","M","left",1,1,0,0,FALSE,"E_C_M_katorza.jpg P_N_M_lapid.jpg"
8101,"E_C_M_mushonov.jpg","E_M_M_tavori.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","5","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",1.33840014093593,"27","M","left",1,1,0,0,FALSE,"E_C_M_mushonov.jpg E_M_M_tavori.jpg"
7362,"E_C_M_shaharHasson.jpg","E_C_M_mushonov.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","2","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",-1.05309854349504,"27","M","left",1,1,0,0,FALSE,"E_C_M_mushonov.jpg E_C_M_shaharHasson.jpg"
7972,"P_P_M_smootrich.jpg","P_N_F_yehimovitz.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","F","6","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",2.13556636907959,"27","M","left",1,1,0,0,FALSE,"P_N_F_yehimovitz.jpg P_P_M_smootrich.jpg"
8252,"E_C_M_katorza.jpg","P_P_M_liberman.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",-0.255932315351385,"27","M","left",1,1,0,0,FALSE,"E_C_M_katorza.jpg P_P_M_liberman.jpg"
8401,"P_P_M_peretz.jpg","P_P_M_smootrich.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",2.13556636907959,"27","M","left",1,1,0,0,FALSE,"P_P_M_peretz.jpg P_P_M_smootrich.jpg"
10082,"E_C_F_ornaBanai.jpg","E_H_F_yanai.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","3","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",-0.255932315351385,"27","M","left",1,1,0,0,FALSE,"E_C_F_ornaBanai.jpg E_H_F_yanai.jpg"
8687,"E_C_M_mushonov.jpg","E_H_F_yanai.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","F","3","5c0d83e9b24b5c00017950db","06/08/2022, 17:28:42",-0.255932315351385,"27","M","left",1,1,0,0,FALSE,"E_C_M_mushonov.jpg E_H_F_yanai.jpg"
