RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
10914,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4825,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
7847,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3657,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3082,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5317,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2936,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
6449,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
9256,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3519,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3566,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
9200,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
7579,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
7169,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5028,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4970,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3548,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4052,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5454,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
7203,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3334,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4047,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5314,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3871,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
6513,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3958,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2897,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
8851,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4338,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2933,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3710,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3265,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4793,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4880,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
