RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
7433,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
6722,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
5579,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2658,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2272,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2260,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2276,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
4006,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2634,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2086,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2491,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3935,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
4939,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2220,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3040,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
