RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
9037,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
7006,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
6332,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
4513,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
4002,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
7042,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
9506,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
9360,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
4430,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
7871,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
6793,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
8863,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
