RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
18139,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
12885,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
7013,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
12637,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
8171,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
10289,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
6491,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
7347,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
6459,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
11349,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4363,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
6440,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
7878,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
9351,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4347,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
7102,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4065,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
7110,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4455,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4671,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4653,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3869,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5057,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3820,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4884,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5345,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5956,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4709,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3978,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3249,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3653,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3431,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
10329,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4463,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3807,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
4689,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3673,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5403,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
5260,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
