RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3280,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4180,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3578,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
9495,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4019,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4705,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3608,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4872,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4111,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2730,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4645,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
