RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
9796,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6633,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6865,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5268,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6778,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3787,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
7912,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5708,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
7134,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6620,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4046,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4059,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3532,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
7123,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2905,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4425,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
