RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
10114,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4421,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3069,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4766,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2836,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1716,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2563,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3512,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3628,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4279,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3272,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4696,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1951,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1719,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3370,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3131,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3074,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2547,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1900,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2147,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2131,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2037,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4825,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
6411,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3082,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3369,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2840,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3953,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2387,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2294,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3902,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2693,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3314,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2798,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3934,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3929,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3765,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2553,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2234,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
