RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
9446,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
8190,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
7330,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4902,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4790,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4489,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3732,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3098,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2294,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1991,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2136,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2230,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2133,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2359,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3053,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
5527,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4378,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2221,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
10589,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4930,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2826,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
5550,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4278,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
