RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
7820,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5817,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4763,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
15897,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
28622,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5538,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
7162,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4889,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3363,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4918,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4637,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4548,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5976,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5223,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3669,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4650,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3965,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
6041,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5479,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3540,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
10576,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3733,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5169,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3858,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3063,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4981,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5148,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4015,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4555,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
6771,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4599,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5246,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
6072,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4219,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3928,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4292,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3777,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3791,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3781,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4096,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
2935,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3022,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4520,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
6162,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3816,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4075,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3748,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4011,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5842,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4416,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3770,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3137,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3708,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4064,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4151,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3864,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4015,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4323,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4418,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
6842,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4116,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4210,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5429,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3726,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
6594,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3643,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4199,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3985,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5309,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
7362,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4456,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
