RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4241,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3467,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3471,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3563,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3655,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3190,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4017,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5976,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3359,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3360,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3236,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4340,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5279,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3504,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3429,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3571,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4749,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3076,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4651,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2841,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3201,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3464,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3807,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3131,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5285,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5382,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2825,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3619,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3515,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5368,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3311,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4824,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3346,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3137,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
