RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
4784,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2887,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2877,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1808,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3777,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2293,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1936,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2205,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2350,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2372,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3951,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3092,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2214,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1965,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2611,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3319,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2970,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2699,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3390,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3281,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
4365,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3278,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2262,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2226,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2086,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2288,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2313,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2194,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2171,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2013,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
