RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4473,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5094,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3095,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4236,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4709,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3059,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5985,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6319,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6196,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5630,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4546,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5720,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5443,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4528,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5077,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4350,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4866,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6412,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
