RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4573,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
5330,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3649,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
16711,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
12203,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
18351,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
6097,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4861,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2979,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
142037,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3028,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2599,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4533,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2800,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2769,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3559,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3148,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
5938,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
34143,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
