RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
5661,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
5785,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
6748,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3919,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4095,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3941,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3094,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
5429,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3589,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4214,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4127,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
6174,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3458,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
6548,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4626,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3430,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3038,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2994,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3287,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
