RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4718,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4638,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
7000,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
6641,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4966,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
5957,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
6166,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
7694,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
5459,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4908,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4445,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
