RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2886,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3666,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4758,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3341,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2546,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4860,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
8959,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2909,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5768,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3687,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2459,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3703,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2853,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5227,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3860,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3212,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6180,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3987,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3897,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3801,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5744,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6609,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2763,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2570,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3180,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2400,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3499,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5722,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5366,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2990,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2704,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2713,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3900,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5263,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2524,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4609,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,1,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6915,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5777,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2679,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2455,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
