RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3649,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
6107,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4655,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5698,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3894,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3346,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5419,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3876,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3830,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5574,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5210,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4639,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3639,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4667,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3331,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4505,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4722,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3622,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3118,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5259,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5286,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4086,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5350,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
7025,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4234,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5442,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3538,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4766,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3515,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4415,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4103,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3288,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
