RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
6987,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
6480,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4243,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5853,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3805,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4989,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3839,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
6326,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
7280,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5814,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3992,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4057,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3080,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
6493,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5748,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2943,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4705,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2917,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3805,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
5062,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
