RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
8421,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2497,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
5936,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2861,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
4245,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2486,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2356,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
4783,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2934,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2939,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3695,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2255,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2610,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2776,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
4475,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2434,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2070,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2633,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3042,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
