RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4662,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3180,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3920,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2804,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
7624,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2553,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2314,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2613,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1897,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3079,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1940,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3282,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1875,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2039,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2368,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2370,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
