RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
5061,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
5037,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
4194,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
4798,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
6993,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3821,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3991,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2378,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2477,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
4252,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
4746,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3744,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
8267,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3840,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
4363,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3115,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3904,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
5680,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
5369,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3239,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
