RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
7552,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
10385,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
3283,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
4015,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
3089,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2744,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2935,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2712,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2767,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
3260,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2470,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2888,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
3016,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
