RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4338,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
10565,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
12412,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4441,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
17160,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
7608,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3816,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3531,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3952,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4292,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3804,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2661,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2969,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3143,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3968,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3504,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4009,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3536,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
7820,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2999,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3437,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4076,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3248,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3153,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2542,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3388,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2804,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2015,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
