RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
8848,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
7714,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5081,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
7066,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4511,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3645,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4694,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3846,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4208,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4248,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
