RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
22877,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5485,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
7546,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
7607,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
9192,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
7604,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6374,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6001,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
7314,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
7310,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6491,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
