RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
13042,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4187,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
6232,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5787,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
6204,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
7291,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5246,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4267,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4340,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5585,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
7179,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
