RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
4708,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3386,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2204,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3082,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3130,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2199,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2947,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2161,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3102,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2942,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1939,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2323,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2121,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3832,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2697,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3306,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3326,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2198,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3418,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2469,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1729,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1998,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3444,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1639,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2348,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3587,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
